seed_idx,seed_alpha0_dec,seed_beta0_dec,seed_alpha0_hex,seed_beta0_hex,alpha0,beta0,alphaR,betaR,alpha0_hex,beta0_hex,alphaR_hex,betaR_hex,cw_total
350,26961,65480,0x6951,0xffc8,,,,,,,,,inf
349,20561,23308,0x5051,0x5b0c,,,,,,,,,inf
348,40459,37889,0x9e0b,0x9401,,,,,,,,,inf
347,19856,3085,0x4d90,0xc0d,,,,,,,,,inf
346,43198,20142,0xa8be,0x4eae,,,,,,,,,inf
345,44386,52265,0xad62,0xcc29,,,,,,,,,inf
344,45031,38202,0xafe7,0x953a,,,,,,,,,inf
343,64258,9369,0xfb02,0x2499,,,,,,,,,inf
342,11159,53713,0x2b97,0xd1d1,,,,,,,,,inf
341,59398,25015,0xe806,0x61b7,,,,,,,,,inf
340,16488,16430,0x4068,0x402e,,,,,,,,,inf
339,21175,50078,0x52b7,0xc39e,,,,,,,,,inf
338,54671,45664,0xd58f,0xb260,,,,,,,,,inf
337,4345,50819,0x10f9,0xc683,,,,,,,,,inf
336,23760,14073,0x5cd0,0x36f9,,,,,,,,,inf
367,41900,58411,0xa3ac,0xe42b,,,,,,,,,inf
366,53065,9422,0xcf49,0x24ce,,,,,,,,,inf
365,2235,48707,0x8bb,0xbe43,,,,,,,,,inf
364,60341,3841,0xebb5,0xf01,,,,,,,,,inf
363,44952,65436,0xaf98,0xff9c,,,,,,,,,inf
362,60573,58602,0xec9d,0xe4ea,,,,,,,,,inf
361,1746,9287,0x6d2,0x2447,,,,,,,,,inf
360,58656,36933,0xe520,0x9045,,,,,,,,,inf
359,61432,60135,0xeff8,0xeae7,,,,,,,,,inf
358,34682,11889,0x877a,0x2e71,,,,,,,,,inf
357,4544,17835,0x11c0,0x45ab,,,,,,,,,inf
356,46818,1032,0xb6e2,0x408,,,,,,,,,inf
355,27314,39446,0x6ab2,0x9a16,,,,,,,,,inf
354,37852,54687,0x93dc,0xd59f,,,,,,,,,inf
353,403,6494,0x193,0x195e,,,,,,,,,inf
352,20468,62692,0x4ff4,0xf4e4,,,,,,,,,inf
383,23308,45671,0x5b0c,0xb267,,,,,,,,,inf
382,17214,32995,0x433e,0x80e3,,,,,,,,,inf
381,46881,55230,0xb721,0xd7be,,,,,,,,,inf
380,15764,47812,0x3d94,0xbac4,,,,,,,,,inf
379,45353,13030,0xb129,0x32e6,,,,,,,,,inf
378,47342,55302,0xb8ee,0xd806,,,,,,,,,inf
377,2682,6128,0xa7a,0x17f0,,,,,,,,,inf
